* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 2846047 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
V/DBox    (  360): 2846063 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2847850 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 2847851 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2848900 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 2848902 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2849603 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@43fd72a8
V/DBox    (  360): 2849605 - Lcom/fsck/k9/activity/MessageList; onClick
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2851221 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 2851303 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2851329 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2851330 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2851347 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 2851350 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 2851353 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 2851370 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 2851371 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 2851371 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 2851373 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 2851424 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 2852574 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@441a8060
V/DBox    (  360): 2852601 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  360): 2852602 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 2852604 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 2852605 + Lcom/fsck/k9/activity/FolderList; onPause
