--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1141860 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1142089 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 1142090 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 1142645 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43fe5880
V/DBox    (  566): 1142654 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1142657 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1142659 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1142661 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1142663 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1142686 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1142712 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1142713 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1142713 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1142714 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1142719 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1144824 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1144830 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1150042 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1150044 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1150045 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1150080 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1150101 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1150102 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1150102 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1150110 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1150118 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1150126 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1150127 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1150137 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1150353 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1150354 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1150355 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1150355 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1151029 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@44154668
V/DBox    (  566): 1151037 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1151041 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1151042 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1151044 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1151045 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1151067 + Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  566): 1151094 - Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  566): 1151095 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1151095 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1151098 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1151105 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1152364 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1152365 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1152375 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1152376 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1152376 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1152387 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1152397 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1152405 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1152407 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1152417 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1152641 + Lcom/facebook/katana/RequestsActivity; onDestroy
