--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 113881 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 113890 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  561): 132286 + Lcom/facebook/katana/LoginActivity; onClick android.widget.Button@441707c0
V/DBox    (  561): 132336 - Lcom/facebook/katana/LoginActivity; onClick
V/DBox    (  561): 132363 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 132363 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 132364 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 132381 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 134105 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  561): 134114 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  561): 134114 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 134115 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 134115 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  561): 134128 + Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  561): 134184 - Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  561): 134186 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 134187 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 134438 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  561): 134439 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  561): 135074 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 135075 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 135078 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 135092 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  561): 135093 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 135095 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 135115 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 135459 + Lcom/facebook/katana/SyncContactsSetupActivity; onClick android.widget.Button@4400b688
V/DBox    (  561): 135486 - Lcom/facebook/katana/SyncContactsSetupActivity; onClick
V/DBox    (  561): 135504 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 135505 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 135525 + Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  561): 135582 - Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  561): 135583 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 135583 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  561): 136002 + Lcom/facebook/katana/HelpfulHintsActivity; onClick android.widget.Button@441e8dd8
V/DBox    (  561): 136039 - Lcom/facebook/katana/HelpfulHintsActivity; onClick
V/DBox    (  561): 136097 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 136097 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  561): 136206 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  561): 136292 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  561): 136292 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  561): 136293 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 136294 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 136338 - Lcom/facebook/katana/StreamActivity; onResume
